quadrat,block,strip,weed_trt,species,weed_trt_density,rye_trt,canopy_percent,canopy_ratio,rye_g,weed_g,rye_biomass,weed_biomass,number_plants,biomass_f,biomass_m,seed_wt_f,weed_wt_m,total_mf_bio_wh,f_biomass_per_capita
111,1,11,50WH,WH,50,ldr,36.05,0.3605,193.4,0,7736,na,0,0,0,0,0,0,0
112,1,11,500WH,WH,500,ldr,40.42,0.4042,193.4,0,7736,na,0,0,0,0,0,0,0
113,1,11,8RW,RW,8,ldr,44.63,0.4463,193.4,0,7736,na,na,0,0,0,0,0,0
114,1,11,80RW,RW,80,ldr,57.34,0.5734,193.4,0,7736,na,0,0,0,0,0,0,0
115,1,11,800RW,RW,800,ldr,47.64,0.4764,193.4,0,7736,na,0,0,0,0,0,0,0
116,1,11,5000WH,WH,5000,ldr,38.77,0.3877,193.4,0,7736,na,0,0,0,0,0,0,0
117,1,11,50000WH,WH,50000,ldr,31.72,0.3172,193.4,0,7736,na,0,0,0,0,0,0,0
118,1,11,0RW,RW,0,ldr,49.95,0.4995,193.4,0,7736,na,0,0,0,0,0,0,0
119,1,11,8000RW,RW,8000,ldr,54.07,0.5407,193.4,0,7736,na,0,0,0,0,0,0,0
121,1,12,8RW,RW,8,bare,0.55,0.0055,0,46.5,0,1860,0,0,0,0,0,0,0
122,1,12,5000WH,WH,5000,bare,0.41,0.0041,0,46.5,0,1860,0,0,0,0,0,0,0
123,1,12,500WH,WH,500,bare,1.7,0.017,0,46.5,0,1860,0,0,0,0,0,0,0
124,1,12,50WH,WH,50,bare,1.82,0.0182,0,46.5,0,1860,0,0,0,0,0,0,0
125,1,12,80RW,RW,80,bare,1.94,0.0194,0,46.5,0,1860,0,0,0,0,0,0,0
126,1,12,800RW,RW,800,bare,2.91,0.0291,0,46.5,0,1860,0,0,0,0,0,0,0
127,1,12,8000RW,RW,8000,bare,3.97,0.0397,0,46.5,0,1860,0,0,0,0,0,0,0
128,1,12,50000WH,WH,50000,bare,3.12,0.0312,0,46.5,0,1860,0,0,0,0,0,0,0
129,1,12,0RW,RW,0,bare,2.89,0.0289,0,46.5,0,1860,0,0,0,0,0,0,0
131,1,13,50000WH,WH,50000,ldshoots,41.77,0.4177,123.7,0,4948,na,0,0,0,0,0,0,0
132,1,13,8RW,RW,8,ldshoots,36.32,0.3632,123.7,0,4948,na,0,0,0,0,0,0,0
133,1,13,0RW,RW,0,ldshoots,36.52,0.3652,123.7,0,4948,na,0,0,0,0,0,0,0
134,1,13,8000RW,RW,8000,ldshoots,31.94,0.3194,123.7,0,4948,na,0,0,0,0,0,0,0
135,1,13,80RW,RW,80,ldshoots,34.81,0.3481,123.7,0,4948,na,0,0,0,0,0,0,0
136,1,13,50WH,WH,50,ldshoots,47.27,0.4727,123.7,0,4948,na,0,0,0,0,0,0,0
137,1,13,500WH,WH,500,ldshoots,46.26,0.4626,123.7,0,4948,na,0,0,0,0,0,0,0
138,1,13,5000WH,WH,5000,ldshoots,66.67,0.6667,123.7,0,4948,na,0,0,0,0,0,0,0
139,1,13,800RW,RW,800,ldshoots,66.06,0.6606,123.7,0,4948,na,0,0,0,0,0,0,0
141,1,14,500WH,WH,500,hdr,22.48,0.2248,167.7,0,6708,na,0,0,0,0,0,0,0
142,1,14,0RW,RW,0,hdr,26.77,0.2677,167.7,0,6708,na,0,0,0,0,0,0,0
143,1,14,8RW,RW,8,hdr,28.17,0.2817,167.7,0,6708,na,0,0,0,0,0,0,0
144,1,14,8000RW,RW,8000,hdr,27.87,0.2787,167.7,0,6708,na,0,0,0,0,0,0,0
145,1,14,50000WH,WH,50000,hdr,39.91,0.3991,167.7,0,6708,na,0,0,0,0,0,0,0
146,1,14,5000WH,WH,5000,hdr,31.75,0.3175,167.7,0,6708,na,0,0,0,0,0,0,0
147,1,14,80RW,RW,80,hdr,35.74,0.3574,167.7,0,6708,na,0,0,0,0,0,0,0
148,1,14,800RW,RW,800,hdr,39.98,0.3998,167.7,0,6708,na,0,0,0,0,0,0,0
149,1,14,50WH,WH,50,hdr,42.11,0.4211,167.7,0,6708,na,0,0,0,0,0,0,0
151,1,15,8RW,RW,8,hdshoots,37.82,0.3782,128,0,5120,na,0,0,0,0,0,0,0
152,1,15,50WH,WH,50,hdshoots,32.51,0.3251,128,0,5120,na,0,0,0,0,0,0,0
153,1,15,50000WH,WH,50000,hdshoots,47.19,0.4719,128,0,5120,na,0,0,0,0,0,0,0
154,1,15,500WH,WH,500,hdshoots,43,0.43,128,0,5120,na,0,0,0,0,0,0,0
155,1,15,5000WH,WH,5000,hdshoots,50.89,0.5089,128,0,5120,na,0,0,0,0,0,0,0
156,1,15,0RW,RW,0,hdshoots,43.43,0.4343,128,0,5120,na,0,0,0,0,0,0,0
157,1,15,8000RW,RW,8000,hdshoots,45.29,0.4529,128,0,5120,na,0,0,0,0,0,0,0
