plot,strip,training,cc,can_apr29,can_apr9
111,11,no,hdroots,15.79,1.8
112,11,no,hdroots,11.09,1.14
113,11,no,hdroots,7.02,1.01
114,11,no,hdroots,10.13,1.02
115,11,no,hdroots,8.01,0.72
116,11,no,hdroots,22.14,2.81
117,11,no,hdroots,14.56,1.46
118,11,no,hdroots,14.69,1.96
119,11,no,hdroots,23.23,2.57
131,13,no,ldshoots,26.07,6.76
132,13,no,ldshoots,22.06,4.27
133,13,no,ldshoots,29.96,6.13
134,13,no,ldshoots,28.57,5.57
135,13,no,ldshoots,35.71,8.02
136,13,no,ldshoots,41.71,11.62
137,13,no,ldshoots,45.23,9.85
138,13,no,ldshoots,38.81,12.18
139,13,no,ldshoots,34.17,5.7
141,14,no,ldroots,18.62,4.58
142,14,no,ldroots,12.75,2.26
143,14,no,ldroots,11.3,1.84
144,14,no,ldroots,10.97,2.11
145,14,no,ldroots,26.6,4.03
146,14,no,ldroots,21.43,3.2
147,14,no,ldroots,28.14,6.67
148,14,no,ldroots,29.41,8.12
149,14,no,ldroots,9.09,1.62
151,15,no,hdshoots,19.72,3.19
152,15,no,hdshoots,19.59,3.79
153,15,no,hdshoots,19.72,3.08
154,15,no,hdshoots,17.14,2.2
155,15,no,hdshoots,20.72,3.89
156,15,no,hdshoots,20.89,4.07
157,15,no,hdshoots,23.75,4.46
158,15,no,hdshoots,19.82,4.51
159,15,no,hdshoots,18.15,3.41
221,22,no,hdroots,36.47,7.66
222,22,no,hdroots,37.52,8.54
223,22,no,hdroots,40.65,6.65
224,22,no,hdroots,29,5.9
225,22,no,hdroots,30.42,6.2
226,22,no,hdroots,35.34,5.68
227,22,no,hdroots,22.26,4.33
228,22,no,hdroots,20.81,4.32
229,22,no,hdroots,17.47,3.33
231,23,no,hdshoots,31.37,5.53
232,23,no,hdshoots,32.91,6.2
233,23,no,hdshoots,23.15,3.63
234,23,no,hdshoots,21.71,3.21
235,23,no,hdshoots,13.13,1.74
236,23,no,hdshoots,15.42,1.56
237,23,no,hdshoots,19.5,3.46
238,23,no,hdshoots,11.29,1.19
239,23,no,hdshoots,6.39,0.76
241,24,no,ldshoots,16.94,1.9
242,24,no,ldshoots,22.46,3.49
243,24,no,ldshoots,15.93,2.22
244,24,no,ldshoots,16.14,2.68
245,24,no,ldshoots,19.3,3.76
246,24,no,ldshoots,20.49,4.78
247,24,no,ldshoots,18.38,4.28
248,24,no,ldshoots,21.95,5.69
249,24,no,ldshoots,20.61,4.15
251,25,no,ldroots,19.86,5.07
252,25,no,ldroots,23.07,5.12
253,25,no,ldroots,27.34,7
254,25,no,ldroots,26.79,7.15
255,25,no,ldroots,23.87,7.44
256,25,no,ldroots,25.1,5.92
257,25,no,ldroots,24.49,6.69
258,25,no,ldroots,25.99,7.88
259,25,no,ldroots,17.87,4.21
310,31,no,ldshoots,16.61,2.58
311,31,no,ldshoots,42.55,20.42
312,31,no,ldshoots,46.38,11.21
313,31,no,ldshoots,46.87,13.34
314,31,no,ldshoots,22.13,3.28
315,31,no,ldshoots,32.65,9.6
316,31,no,ldshoots,23.26,6.56
317,31,no,ldshoots,51.03,19.45
318,31,no,ldshoots,31.55,4.76
319,31,no,ldshoots,31.76,5.48
330,33,no,hdroots,17.2,1.97
331,33,no,hdroots,12.15,1.24
332,33,no,hdroots,10.18,1.85
333,33,no,hdroots,16.36,3.01
334,33,no,hdroots,13,1.37
335,33,no,hdroots,16.1,2.15
336,33,no,hdroots,26.06,6
337,33,no,hdroots,13.92,1.78
338,33,no,hdroots,11.51,1.74
339,33,no,hdroots,19.56,3.46
340,34,no,ldroots,31.77,7.91
341,34,no,ldroots,25.21,6.98
342,34,no,ldroots,26.3,5.74
343,34,no,ldroots,16.05,2.66
344,34,no,ldroots,13.31,2.69
