quadrat,cc,density,block,strip,square_original,side,square,x,y,c1.new.em,c2.new.em,c4.new.em,c5.new.em
212,hdshoots,50,2,21,14,east,11,1,1,0,0,0,0
212,hdshoots,50,2,21,24,east,21,2,1,0,0,0,0
212,hdshoots,50,2,21,34,east,31,3,1,0,0,0,0
212,hdshoots,50,2,21,44,east,41,4,1,0,0,0,0
212,hdshoots,50,2,21,15,east,12,1,2,0,0,0,0
212,hdshoots,50,2,21,25,east,22,2,2,0,0,0,0
212,hdshoots,50,2,21,35,east,32,3,2,0,0,0,0
212,hdshoots,50,2,21,45,east,42,4,2,0,0,0,0
212,hdshoots,50,2,21,16,east,13,1,3,0,0,0,0
212,hdshoots,50,2,21,26,east,23,2,3,0,0,0,0
212,hdshoots,50,2,21,36,east,33,3,3,0,0,0,0
212,hdshoots,50,2,21,46,east,43,4,3,0,0,0,0
213,hdshoots,50000,2,21,14,east,11,1,1,38,2,17,9
213,hdshoots,50000,2,21,24,east,21,2,1,80,8,36,12
213,hdshoots,50000,2,21,34,east,31,3,1,9,20,10,0
213,hdshoots,50000,2,21,44,east,41,4,1,10,9,12,0
213,hdshoots,50000,2,21,15,east,12,1,2,46,6,5,6
213,hdshoots,50000,2,21,25,east,22,2,2,11,12,18,7
213,hdshoots,50000,2,21,35,east,32,3,2,20,9,27,1
213,hdshoots,50000,2,21,45,east,42,4,2,4,5,6,0
213,hdshoots,50000,2,21,16,east,13,1,3,14,23,28,11
213,hdshoots,50000,2,21,26,east,23,2,3,9,13,1,11
213,hdshoots,50000,2,21,36,east,33,3,3,11,14,31,2
213,hdshoots,50000,2,21,46,east,43,4,3,0,1,5,0
217,hdshoots,500,2,21,14,east,11,1,1,0,0,0,0
217,hdshoots,500,2,21,24,east,21,2,1,0,0,0,0
217,hdshoots,500,2,21,34,east,31,3,1,1,0,0,0
217,hdshoots,500,2,21,44,east,41,4,1,0,0,0,0
217,hdshoots,500,2,21,15,east,12,1,2,0,0,0,0
217,hdshoots,500,2,21,25,east,22,2,2,0,0,0,0
217,hdshoots,500,2,21,35,east,32,3,2,0,0,0,0
217,hdshoots,500,2,21,45,east,42,4,2,0,0,0,0
217,hdshoots,500,2,21,16,east,13,1,3,0,0,0,0
217,hdshoots,500,2,21,26,east,23,2,3,0,0,0,0
217,hdshoots,500,2,21,36,east,33,3,3,0,0,0,0
217,hdshoots,500,2,21,46,east,43,4,3,0,0,0,0
218,hdshoots,5000,2,21,14,east,11,1,1,0,0,0,0
218,hdshoots,5000,2,21,24,east,21,2,1,2,0,2,0
218,hdshoots,5000,2,21,34,east,31,3,1,0,0,2,0
218,hdshoots,5000,2,21,44,east,41,4,1,0,0,2,0
218,hdshoots,5000,2,21,15,east,12,1,2,-1,0,1,1
218,hdshoots,5000,2,21,25,east,22,2,2,1,0,5,1
218,hdshoots,5000,2,21,35,east,32,3,2,3,1,2,0
218,hdshoots,5000,2,21,45,east,42,4,2,0,0,3,0
218,hdshoots,5000,2,21,16,east,13,1,3,0,0,2,0
218,hdshoots,5000,2,21,26,east,23,2,3,1,0,0,0
218,hdshoots,5000,2,21,36,east,33,3,3,1,0,5,0
218,hdshoots,5000,2,21,46,east,43,4,3,0,1,1,0
221,ldshoots,50,2,22,14,east,11,1,1,0,0,0,0
221,ldshoots,50,2,22,24,east,21,2,1,0,0,0,0
221,ldshoots,50,2,22,34,east,31,3,1,0,0,0,0
221,ldshoots,50,2,22,44,east,41,4,1,0,0,0,0
221,ldshoots,50,2,22,15,east,12,1,2,0,0,0,0
221,ldshoots,50,2,22,25,east,22,2,2,0,0,0,0
221,ldshoots,50,2,22,35,east,32,3,2,0,0,0,0
221,ldshoots,50,2,22,45,east,42,4,2,0,0,0,0
221,ldshoots,50,2,22,16,east,13,1,3,0,0,0,0
221,ldshoots,50,2,22,26,east,23,2,3,1,0,0,0
221,ldshoots,50,2,22,36,east,33,3,3,0,0,0,0
221,ldshoots,50,2,22,46,east,43,4,3,0,0,0,0
223,ldshoots,50000,2,22,14,east,11,1,1,32,2,19,0
223,ldshoots,50000,2,22,24,east,21,2,1,68,18,15,0
223,ldshoots,50000,2,22,34,east,31,3,1,23,16,10,0
223,ldshoots,50000,2,22,44,east,41,4,1,35,2,7,0
223,ldshoots,50000,2,22,15,east,12,1,2,24,16,15,0
223,ldshoots,50000,2,22,25,east,22,2,2,15,26,48,1
223,ldshoots,50000,2,22,35,east,32,3,2,41,5,23,0
223,ldshoots,50000,2,22,45,east,42,4,2,1,1,12,1
223,ldshoots,50000,2,22,16,east,13,1,3,12,0,5,0
223,ldshoots,50000,2,22,26,east,23,2,3,22,1,13,0
223,ldshoots,50000,2,22,36,east,33,3,3,5,4,9,0
223,ldshoots,50000,2,22,46,east,43,4,3,0,0,8,0
224,ldshoots,500,2,22,11,west,11,1,1,0,0,0,0
224,ldshoots,500,2,22,21,west,21,2,1,0,0,1,0
224,ldshoots,500,2,22,31,west,31,3,1,0,0,0,0
224,ldshoots,500,2,22,41,west,41,4,1,0,0,0,0
224,ldshoots,500,2,22,12,west,12,1,2,0,0,0,0
224,ldshoots,500,2,22,22,west,22,2,2,0,0,0,0
224,ldshoots,500,2,22,32,west,32,3,2,0,0,0,0
224,ldshoots,500,2,22,42,west,42,4,2,0,0,0,0
224,ldshoots,500,2,22,13,west,13,1,3,0,0,1,0
224,ldshoots,500,2,22,23,west,23,2,3,0,0,0,0
