strip,loc,location,depth,roots_g,rye,include_block_1
24,IR,IR2,0-5cm,1.5,HD,no
24,BR,BR2,5-20cm,0.84,HD,no
24,IR,IR2,5-20cm,0.83,HD,no
24,BR,BR2,0-5cm,0.318,HD,no
25,BR,BR2,5-20cm,0.641,LD,no
25,IR,IR2,0-5cm,2.006,LD,no
25,BR,BR2,0-5cm,0.167,LD,no
25,IR,IR2,5-20cm,0.575,LD,no
43,IR,IR2,0-5cm,2.168,LD,no
43,IR,IR2,5-20cm,0.382,LD,no
43,BR,BR2,0-5cm,0.169,LD,no
43,BR,BR2,5-20cm,0.842,LD,no
44,BR,BR2,0-5cm,0.398,HD,no
44,BR,BR2,5-20cm,0.686,HD,no
44,IR,IR2,0-5cm,1.345,HD,no
44,IR,IR2,5-20cm,0.693,HD,no
11,IR,IR2,5-20cm,0.861,LD,yes
11,BR,BR2,0-5cm,0.137,LD,yes
14,IR,IR2,0-5cm,0.861,HD,yes
14,BR,BR2,0-5cm,0.4,HD,yes
14,BR,BR2,5-20cm,1.092,HD,yes
14,IR,IR2,5-20cm,0.54,HD,yes
11,BR,BR2,5-20cm,0.55,LD,yes
11,IR,IR2,0-5cm,2.223,LD,yes
11,BR,BR1,5-20cm,0.808,LD,yes
14,IR,IR1,5-20cm,0.471,HD,yes
52,IR,IR2,0-5cm,1.085,LD,no
52,IR,IR2,5-20cm,0.535,LD,no
52,BR,BR2,0-5cm,0.282,LD,no
52,BR,BR2,5-20cm,0.652,LD,no
53,IR,IR2,0-5cm,0.893,HD,no
53,IR,IR2,5-20cm,0.508,HD,no
53,BR,BR2,0-5cm,0.214,HD,no
53,BR,BR2,5-20cm,0.989,HD,no
11,IR,IR1AB,5-20cm,0.628,LD,yes
35,BR,BR2,5-20cm,0.368,LD,no
35,BR,BR2,0-5cm,0.349,LD,no
33,BR,BR2,0-5cm,0.297,HD,no
35,IR,IR2,5-20cm,0.364,LD,no
33,IR,IR2,0-5cm,1.039,HD,no
35,IR,IR2,0-5cm,1.412,LD,no
33,BR,BR2,5-20cm,0.642,HD,no
33,IR,IR2,5-20cm,0.751,HD,no
