date,day,t_avg_f,t_max_f,t_min_f,tot_precip_in,t_avg,t_max,t_min,gdd_8.9
4/1/24,92,46.2,50.5,41.9,0.49,7.9,10.3,5.5,0
4/2/24,93,45,47.3,42.7,1,7.2,8.5,5.9,0
4/3/24,94,40.5,43.8,37.2,1.65,4.7,6.6,2.9,0
4/4/24,95,36.9,45,28.8,0.08,2.7,7.2,-1.8,0
4/5/24,96,36.2,38.4,34,0.03,2.3,3.6,1.1,0
4/6/24,97,43.3,52.3,34.2,0,6.3,11.3,1.2,0
4/7/24,98,45,61.4,28.5,0,7.2,16.3,-1.9,0
4/8/24,99,45.2,58.3,32.1,0,7.3,14.6,0.1,0
4/9/24,100,53.9,74.8,33,0,12.2,23.8,0.6,3.311111111
4/10/24,101,62.2,67.7,56.7,0.02,16.8,19.8,13.7,7.911111111
4/11/24,102,60.7,65.7,55.7,0.43,15.9,18.7,13.2,7.011111111
4/12/24,103,54.3,63.1,45.5,1.24,12.4,17.3,7.5,3.511111111
4/13/24,104,46.8,53.6,40,0.11,8.2,12,4.4,0
4/14/24,105,59.6,78.6,40.7,0.23,15.3,25.9,4.8,6.411111111
4/15/24,106,60.8,71.5,50.1,0.11,16,21.9,10.1,7.111111111
4/16/24,107,56.1,77.3,34.9,0,13.4,25.2,1.6,4.511111111
4/17/24,108,55.3,64.4,46.2,0.28,12.9,18,7.9,4.011111111
4/18/24,109,58.1,65.8,50.4,0.1,14.5,18.8,10.2,5.611111111
4/19/24,110,51.3,55.1,47.4,0,10.7,12.8,8.6,1.811111111
4/20/24,111,47.3,57.1,37.5,0,8.5,13.9,3.1,0
4/21/24,112,35.6,44.8,26.5,0,2,7.1,-3.1,0
4/22/24,113,43.2,60.4,26,0,6.2,15.8,-3.3,0
4/23/24,114,49,67.2,30.8,0,9.4,19.6,-0.7,0.511111111
4/24/24,115,52.3,59.7,44.9,0.11,11.3,15.4,7.2,2.411111111
4/25/24,116,46.7,57,36.4,0,8.2,13.9,2.4,0
4/26/24,117,47.1,63.3,31,0,8.4,17.4,-0.6,0
4/27/24,118,49,52.5,45.6,0.1,9.4,11.4,7.6,0.511111111
4/28/24,119,64.2,79.3,49,0,17.9,26.3,9.4,9.011111111
4/29/24,120,67,82.7,51.2,0,19.4,28.2,10.7,10.51111111
4/30/24,121,66.2,77,55.4,0.11,19,25,13,10.11111111
5/1/24,122,62.8,77.6,47.9,0.01,17.1,25.3,8.8,8.211111111
5/2/24,123,68,83.9,52.1,0,20,28.8,11.2,11.11111111
5/3/24,124,61.6,73.8,49.4,0,16.4,23.2,9.7,7.511111111
5/4/24,125,53.5,58.3,48.7,0.28,11.9,14.6,9.3,3.011111111
5/5/24,126,51.3,55.9,46.8,0.23,10.7,13.3,8.2,1.811111111
5/6/24,127,65.5,76.3,54.7,0,18.6,24.6,12.6,9.711111111
5/7/24,128,65.8,73.5,58,0,18.8,23.1,14.4,9.911111111
5/8/24,129,69.2,77.5,60.8,0.27,20.7,25.3,16,11.81111111
5/9/24,130,53.3,59.2,47.4,0.55,11.8,15.1,8.6,2.911111111
5/10/24,131,48,50.5,45.6,1.1,8.9,10.3,7.6,0.011111111
5/11/24,132,51.8,57.7,45.9,0.34,11,14.3,7.7,2.111111111
5/12/24,133,53.5,59.5,47.5,0,11.9,15.3,8.6,3.011111111
