quadrat,cc,density,block,strip,square_original,side,square,x,y,n_cohort1_t1,n_cohort1_t2,n_cohort2_t2,n_cohort1_t3,n_cohort2_t3,n_cohort3_t3,n_cohort1_t4,n_cohort2_t4,n_cohort3_t4,n_cohort4_t4,n_cohort1_t5,n_cohort2_t5,n_cohort3_t5,n_cohort4_t5,n_cohort5_t5,1,2,3,4,5,em1,em2,em3,em4,em5
212,hdshoots,50,2,21,14,east,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,24,east,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,34,east,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,44,east,41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,15,east,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,25,east,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,35,east,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,45,east,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,16,east,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,26,east,23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,36,east,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,hdshoots,50,2,21,46,east,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,hdshoots,50000,2,21,14,east,11,1,1,38,36,2,36,2,0,29,2,0,17,25,0,0,9,9,38,38,38,48,43,38,40,40,57,66
213,hdshoots,50000,2,21,24,east,21,2,1,80,67,8,44,5,0,31,5,0,36,16,4,0,20,12,80,75,49,72,52,80,88,88,124,136
213,hdshoots,50000,2,21,34,east,31,3,1,9,8,20,8,20,0,4,10,0,10,0,1,0,0,0,9,28,28,24,1,9,29,29,39,39
213,hdshoots,50000,2,21,44,east,41,4,1,10,10,9,10,9,0,4,6,0,12,0,0,0,3,0,10,19,19,22,3,10,19,19,31,31
213,hdshoots,50000,2,21,15,east,12,1,2,46,42,6,42,6,0,24,4,0,5,9,3,0,2,6,46,48,48,33,20,46,52,52,57,63
213,hdshoots,50000,2,21,25,east,22,2,2,11,10,12,6,12,0,4,8,0,18,1,4,0,8,7,11,22,18,30,20,11,23,23,41,48
213,hdshoots,50000,2,21,35,east,32,3,2,20,14,9,14,9,0,11,9,0,27,4,2,0,9,1,20,23,23,47,16,20,29,29,56,57
213,hdshoots,50000,2,21,45,east,42,4,2,4,3,5,3,5,0,3,3,0,6,1,0,0,0,0,4,8,8,12,1,4,9,9,15,15
213,hdshoots,50000,2,21,16,east,13,1,3,14,14,23,14,23,0,13,19,0,28,4,4,0,13,11,14,37,37,60,32,14,37,37,65,76
213,hdshoots,50000,2,21,26,east,23,2,3,9,8,13,8,9,21,8,9,21,1,2,3,6,0,11,9,21,38,39,22,9,22,43,44,55
213,hdshoots,50000,2,21,36,east,33,3,3,11,4,14,4,14,0,4,14,0,31,2,3,0,8,2,11,18,18,49,15,11,25,25,56,58
213,hdshoots,50000,2,21,46,east,43,4,3,0,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0,1,1,6,0,0,1,1,6,6
217,hdshoots,500,2,21,14,east,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,24,east,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,34,east,31,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
217,hdshoots,500,2,21,44,east,41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,15,east,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,25,east,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,35,east,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,45,east,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,16,east,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,26,east,23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,36,east,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,hdshoots,500,2,21,46,east,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,hdshoots,5000,2,21,14,east,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,hdshoots,5000,2,21,24,east,21,2,1,2,0,0,0,0,3,0,0,3,2,0,0,2,0,0,2,0,3,5,2,2,2,5,7,7
218,hdshoots,5000,2,21,34,east,31,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
218,hdshoots,5000,2,21,44,east,41,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2
218,hdshoots,5000,2,21,15,east,12,1,2,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,1,0,1,2,-1,-1,-1,0,1
218,hdshoots,5000,2,21,25,east,22,2,2,1,1,0,1,0,0,1,0,0,5,0,0,0,0,1,1,1,1,6,1,1,1,1,6,7
218,hdshoots,5000,2,21,35,east,32,3,2,3,0,1,0,1,0,0,1,0,2,0,0,0,1,0,3,1,1,3,1,3,4,4,6,6
218,hdshoots,5000,2,21,45,east,42,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
218,hdshoots,5000,2,21,16,east,13,1,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,3,0,0,0,2,4,4
218,hdshoots,5000,2,21,26,east,23,2,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
218,hdshoots,5000,2,21,36,east,33,3,3,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,5,2,1,1,1,6,6
218,hdshoots,5000,2,21,46,east,43,4,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,1,2,2
221,ldshoots,50,2,22,14,east,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,24,east,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,34,east,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,44,east,41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,15,east,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,25,east,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,35,east,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,45,east,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,16,east,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,26,east,23,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
221,ldshoots,50,2,22,36,east,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ldshoots,50,2,22,46,east,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,ldshoots,50000,2,22,14,east,11,1,1,32,32,2,32,2,0,10,2,0,19,1,0,0,3,0,32,34,34,31,4,32,34,34,53,53
223,ldshoots,50000,2,22,24,east,21,2,1,68,64,18,40,18,6,5,1,1,15,0,0,1,4,0,68,82,64,22,5,68,86,92,107,107
223,ldshoots,50000,2,22,34,east,31,3,1,23,23,16,23,16,0,5,0,0,10,1,0,0,0,0,23,39,39,15,1,23,39,39,49,49
223,ldshoots,50000,2,22,44,east,41,4,1,35,35,2,29,2,1,16,2,1,7,0,0,0,0,0,35,37,32,26,0,35,37,38,45,45
223,ldshoots,50000,2,22,15,east,12,1,2,24,24,16,24,16,0,8,2,0,15,1,0,0,1,0,24,40,40,25,2,24,40,40,55,55
223,ldshoots,50000,2,22,25,east,22,2,2,15,15,26,5,13,2,2,7,2,48,1,0,2,5,1,15,41,20,59,9,15,41,43,91,92
223,ldshoots,50000,2,22,35,east,32,3,2,41,41,5,41,5,0,13,5,0,23,0,0,0,1,0,41,46,46,41,1,41,46,46,69,69
223,ldshoots,50000,2,22,45,east,42,4,2,1,1,1,1,0,8,0,0,7,12,0,0,0,0,1,1,2,9,19,1,1,2,10,22,23
223,ldshoots,50000,2,22,16,east,13,1,3,12,7,0,7,0,0,2,0,0,5,0,0,0,0,0,12,7,7,7,0,12,12,12,17,17
223,ldshoots,50000,2,22,26,east,23,2,3,22,22,1,5,0,0,4,0,0,13,0,0,0,4,0,22,23,5,17,4,22,23,23,36,36
223,ldshoots,50000,2,22,36,east,33,3,3,5,5,4,5,4,0,3,0,0,9,1,0,0,0,0,5,9,9,12,1,5,9,9,18,18
223,ldshoots,50000,2,22,46,east,43,4,3,0,0,0,0,0,8,0,0,3,8,0,0,0,1,0,0,0,8,11,1,0,0,8,16,16
224,ldshoots,500,2,22,11,west,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,21,west,21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
224,ldshoots,500,2,22,31,west,31,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
224,ldshoots,500,2,22,41,west,41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,12,west,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,22,west,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,32,west,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,42,west,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,13,west,13,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
224,ldshoots,500,2,22,23,west,23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,ldshoots,500,2,22,33,west,33,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
224,ldshoots,500,2,22,43,west,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,ldshoots,5000,2,22,14,east,11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,2
227,ldshoots,5000,2,22,24,east,21,2,1,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,0,2,2,3,3
227,ldshoots,5000,2,22,34,east,31,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
