quadrat,block,density,cc,dens,t4,t5,t5.survivors,t5.new,surv,strip,gini.coef.biased,gini.coef.unbiased,gini.coef.biased.beta,surv.beta
217,2,500,hdshoots,500,1,0,0,0,0,21,0,NA,0.001,0.001
235,2,500,bare,500,1,1,0,1,0,23,0,NA,0.001,0.001
312,3,50,ldshoots,50,1,0,0,0,0,31,0,NA,0.001,0.001
359,3,50,ldr,50,1,0,0,0,0,35,0,NA,0.001,0.001
443,4,50,hdr,50,1,1,0,1,0,44,0,NA,0.001,0.001
452,4,50,ldshoots,50,1,0,0,0,0,45,0,NA,0.001,0.001
517,5,50,hdshoots,50,1,0,0,0,0,51,0,NA,0.001,0.001
239,2,50,bare,50,1,1,1,0,1,23,0,NA,0.001,0.999
320,3,500,bare,500,1,1,1,0,1,32,0,NA,0.001,0.999
537,5,50,hdr,50,1,1,1,0,1,53,0,NA,0.001,0.999
429,4,500,hdshoots,500,2,0,0,0,0,42,0,0,0.001,0.001
456,4,500,ldshoots,500,2,0,0,0,0,45,0,0,0.001,0.001
558,5,50,bare,50,2,0,0,0,0,55,0,0,0.001,0.001
545,5,500,ldshoots,500,2,2,1,1,0.5,54,0.409090909,0.818181818,0.410090909,0.501
325,3,50,bare,50,2,2,2,0,1,32,0.166666667,0.333333333,0.167666667,0.999
224,2,500,ldshoots,500,3,0,0,0,0,22,0.166666667,0.333333333,0.167666667,0.001
311,3,500,ldshoots,500,3,0,0,0,0,31,0,0,0.001,0.001
337,3,50,hdr,50,3,3,2,1,0.666666667,33,0,0,0.001,0.667666667
557,5,500,bare,500,3,2,2,0,0.666666667,55,0.285714286,0.428571429,0.286714286,0.667666667
513,5,500,hdshoots,500,4,2,1,1,0.25,51,0.372294372,0.434343434,0.373294372,0.251
335,3,500,hdr,500,5,5,2,3,0.4,33,0.171428571,0.214285714,0.172428571,0.401
356,3,500,ldr,500,5,5,2,3,0.4,35,0,0,0.001,0.401
536,5,500,hdr,500,5,3,2,1,0.4,53,0,0,0.001,0.401
418,4,5000,bare,5000,6,6,3,3,0.5,41,0.119047619,0.142857143,0.120047619,0.501
243,2,500,hdr,500,7,6,2,4,0.285714286,24,0.080357143,0.09375,0.081357143,0.286714286
249,2,5000,hdr,5000,7,12,4,8,0.571428571,24,0,0,0.001,0.572428571
349,3,500,hdshoots,500,11,1,1,0,0.090909091,34,0.345849802,0.380434783,0.346849802,0.091909091
253,2,500,ldr,500,13,3,3,0,0.230769231,25,0.086049544,0.093220339,0.087049544,0.231769231
525,5,500,ldr,500,15,0,0,0,0,52,0.13968254,0.149659864,0.14068254,0.001
