strip,block,rye,depth,loc,roots_g,roots_g_0.25m2
24,2,HD,0-5cm,IR,1.5,33.63627083
24,2,HD,5-20cm,IR,0.83,18.61206986
25,2,LD,0-5cm,IR,2.006,32.9887017
25,2,LD,5-20cm,IR,0.575,9.455884085
33,3,HD,0-5cm,IR,1.039,23.2987236
33,3,HD,5-20cm,IR,0.751,16.8405596
35,3,LD,0-5cm,IR,1.412,23.22036231
35,3,LD,5-20cm,IR,0.364,5.985985751
43,4,LD,0-5cm,IR,2.168,35.65279426
43,4,LD,5-20cm,IR,0.382,6.281996036
44,4,HD,0-5cm,IR,1.345,30.16052285
44,4,HD,5-20cm,IR,0.693,15.53995712
52,5,LD,0-5cm,IR,1.085,17.84284214
52,5,LD,5-20cm,IR,0.535,8.798083453
53,5,HD,0-5cm,IR,0.893,20.02479324
53,5,HD,5-20cm,IR,0.508,11.39148372
24,2,HD,0-5cm,BR,0.318,1.839106587
24,2,HD,5-20cm,BR,0.84,4.8580174
25,2,LD,0-5cm,BR,0.167,2.253140426
25,2,LD,5-20cm,BR,0.641,8.648281517
33,3,HD,0-5cm,BR,0.297,1.717656152
33,3,HD,5-20cm,BR,0.642,3.712913298
35,3,LD,0-5cm,BR,0.349,4.708658735
35,3,LD,5-20cm,BR,0.368,4.965004053
43,4,LD,0-5cm,BR,0.169,2.280124144
43,4,LD,5-20cm,BR,0.842,11.36014514
44,4,HD,0-5cm,BR,0.398,2.301774911
44,4,HD,5-20cm,BR,0.686,3.967380876
52,5,LD,0-5cm,BR,0.282,3.804704193
52,5,LD,5-20cm,BR,0.652,8.796691964
53,5,HD,0-5cm,BR,0.214,1.237637766
53,5,HD,5-20cm,BR,0.989,5.719737153
